corridor,period,matched_interval_count,mae_mph,mape_pct,mape_interval_count,rmse_mph,mean_bias_mph,wmape_pct,r_squared,cube_vs_observed_matched_interval_count,cube_vs_observed_mae_mph,cube_vs_observed_mape_pct,cube_vs_observed_mape_interval_count,cube_vs_observed_rmse_mph,cube_vs_observed_mean_bias_mph,cube_vs_observed_wmape_pct,cube_vs_observed_r_squared,taplite_vs_cube_matched_interval_count,taplite_vs_cube_mae_mph,taplite_vs_cube_mape_pct,taplite_vs_cube_mape_interval_count,taplite_vs_cube_rmse_mph,taplite_vs_cube_mean_bias_mph,taplite_vs_cube_wmape_pct,taplite_vs_cube_r_squared,congestion_valid_interval_count,observed_congestion_duration_min,model_congestion_duration_min,congestion_duration_error_min,congestion_duration_absolute_error_min,congestion_duration_ape_pct,congestion_overlap_min,congestion_union_min,congestion_iou_pct,congestion_precision_pct,congestion_recall_pct,congestion_f1_pct,congestion_interval_accuracy_pct,observed_congestion_episode_count,model_congestion_episode_count,observed_first_congestion_start_min,model_first_congestion_start_min,congestion_onset_error_min,observed_last_congestion_end_min,model_last_congestion_end_min,congestion_clearance_error_min,cube_vs_observed_congestion_valid_interval_count,cube_vs_observed_observed_congestion_duration_min,cube_vs_observed_model_congestion_duration_min,cube_vs_observed_congestion_duration_error_min,cube_vs_observed_congestion_duration_absolute_error_min,cube_vs_observed_congestion_duration_ape_pct,cube_vs_observed_congestion_overlap_min,cube_vs_observed_congestion_union_min,cube_vs_observed_congestion_iou_pct,cube_vs_observed_congestion_precision_pct,cube_vs_observed_congestion_recall_pct,cube_vs_observed_congestion_f1_pct,cube_vs_observed_congestion_interval_accuracy_pct,cube_vs_observed_observed_congestion_episode_count,cube_vs_observed_model_congestion_episode_count,cube_vs_observed_observed_first_congestion_start_min,cube_vs_observed_model_first_congestion_start_min,cube_vs_observed_congestion_onset_error_min,cube_vs_observed_observed_last_congestion_end_min,cube_vs_observed_model_last_congestion_end_min,cube_vs_observed_congestion_clearance_error_min,mean_observed_speed_mph,mean_model_speed_mph,mean_cube_qvdf_speed_mph,mean_observed_length_coverage_pct,mean_model_length_coverage_pct,mean_cube_qvdf_length_coverage_pct,cbi_tmc_count,mapped_tmc_count,eligible_tmc_count,qa_matched_tmc_count,gmns_link_count_used,gmns_corridor_length_mi,cube_qvdf_link_count_available,taplite_zero_cube_positive_link_count,tmc_mapping_coverage_pct,tmc_comparison_coverage_pct,qa_matched_share_of_mapped_pct
US15_SB,MD,24,2.294693,5.237724,24,2.501867,-2.217857,5.301663,0.341861,24,4.615358,10.486187,24,6.367641,-4.502848,10.663330,0.182457,24,3.018640,8.826095,24,4.570676,2.284991,7.784080,0.411901,24,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,24,0,90,90,90,,0,90,0.000000,0.000000,,,75.000000,0,1,,675.000000,,,765.000000,,43.282514,41.064657,38.779666,98.545429,100.000000,100.000000,15,15.000000,15.000000,12.000000,55.000000,39.160000,55.000000,0.000000,100.000000,100.000000,80.000000
US15_SB,PM,16,1.648659,4.297964,16,2.119819,1.632201,4.163797,0.525775,16,1.568733,4.071545,16,2.055126,-0.328161,3.961939,0.779641,16,2.198728,6.257708,16,3.409960,1.960362,5.599442,0.487324,16,0,0,0,0,,0,0,,,,,100.000000,0,0,,,,,,,16,0,60,60,60,,0,60,0.000000,0.000000,,,75.000000,0,1,,990.000000,,,1050.000000,,39.595079,41.227281,39.266919,95.326357,100.000000,100.000000,15,15.000000,15.000000,12.000000,55.000000,39.160000,55.000000,0.000000,100.000000,100.000000,80.000000
US1_NB,AM,12,1.898705,6.063764,12,2.039437,1.898705,5.965551,0.886386,12,2.099761,6.653696,12,2.372807,1.803096,6.597248,0.677329,12,1.368282,4.257463,12,1.680720,0.095610,4.068525,0.622266,12,120,75,-45,45,37.500000,75,120,62.500000,100.000000,62.500000,76.923077,75.000000,1,1,420.000000,465.000000,45.000000,540.000000,540.000000,0.000000,12,120,60,-60,60,50.000000,60,120,50.000000,100.000000,50.000000,66.666667,66.666667,1,2,420.000000,435.000000,15.000000,540.000000,540.000000,0.000000,31.827827,33.726532,33.630923,93.773489,100.000000,100.000000,37,37.000000,37.000000,34.000000,112.000000,31.470000,112.000000,0.000000,100.000000,100.000000,91.891892
US1_NB,MD,24,0.301238,0.938796,24,0.355147,-0.297447,0.931968,0.956412,24,2.215026,6.841368,24,2.728614,2.021152,6.852837,0.186552,24,2.434978,6.842513,24,2.994980,-2.318598,7.089983,0.116961,24,210,240,30,30,14.285714,210,240,87.500000,87.500000,100.000000,93.333333,91.666667,1,1,690.000000,660.000000,-30.000000,900.000000,900.000000,0.000000,24,210,90,-120,120,57.142857,90,210,42.857143,100.000000,42.857143,60.000000,66.666667,1,2,690.000000,705.000000,15.000000,900.000000,900.000000,0.000000,32.322764,32.025318,34.343916,99.290426,100.000000,100.000000,37,33.000000,33.000000,31.000000,102.000000,30.350000,102.000000,0.000000,89.189189,89.189189,93.939394
US1_NB,PM,16,0.646154,2.151220,16,0.780256,-0.458309,2.124514,0.884452,16,1.304767,4.343232,16,1.785175,-0.763547,4.289996,0.646507,16,0.921064,3.297455,16,1.232405,0.305238,3.106388,0.767293,16,240,240,0,0,0.000000,240,240,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,900.000000,900.000000,0.000000,1140.000000,1140.000000,0.000000,16,240,240,0,0,0.000000,240,240,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,900.000000,900.000000,0.000000,1140.000000,1140.000000,0.000000,30.414175,29.955866,29.650628,98.330620,100.000000,100.000000,37,33.000000,33.000000,31.000000,102.000000,30.350000,102.000000,0.000000,89.189189,89.189189,93.939394
US1_SB,AM,12,0.821357,2.481371,12,0.988435,0.821357,2.441421,0.855085,12,2.302852,6.901519,12,2.688619,1.796830,6.845050,0.299882,12,1.991538,5.633476,12,2.331015,-0.975473,5.619557,0.215076,12,60,0,-60,60,100.000000,0,60,0.000000,,0.000000,,66.666667,1,0,465.000000,,,525.000000,,,12,60,30,-30,30,50.000000,0,90,0.000000,0.000000,0.000000,,50.000000,1,1,465.000000,435.000000,-30.000000,525.000000,465.000000,-60.000000,33.642588,34.463945,35.439419,98.668686,100.000000,100.000000,36,31.000000,31.000000,29.000000,101.000000,30.150000,101.000000,0.000000,86.111111,86.111111,93.548387
US1_SB,MD,24,1.025766,3.264248,24,1.123180,-0.892668,3.244505,0.806577,24,1.822510,5.726889,24,2.261942,1.644028,5.764611,0.540828,24,2.536696,7.392471,24,3.112419,-2.536696,7.626977,0.326571,24,270,300,30,30,11.111111,225,345,65.217391,75.000000,83.333333,78.947368,66.666667,2,1,540.000000,600.000000,60.000000,900.000000,900.000000,0.000000,24,270,120,-150,150,55.555556,120,270,44.444444,100.000000,44.444444,61.538462,58.333333,2,2,540.000000,690.000000,150.000000,900.000000,900.000000,0.000000,31.615487,30.722819,33.259514,98.438929,100.000000,100.000000,36,31.000000,31.000000,29.000000,101.000000,30.150000,101.000000,0.000000,86.111111,86.111111,93.548387
US1_SB,PM,16,0.994254,3.892080,16,1.050887,0.994254,3.838430,0.949152,16,1.439079,5.592122,16,1.562931,1.439079,5.555726,0.799703,16,0.560263,2.035792,16,0.671154,-0.444825,2.049116,0.863851,16,240,240,0,0,0.000000,240,240,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,900.000000,900.000000,0.000000,1140.000000,1140.000000,0.000000,16,240,240,0,0,0.000000,240,240,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,900.000000,900.000000,0.000000,1140.000000,1140.000000,0.000000,25.902619,26.896873,27.341697,98.304502,100.000000,100.000000,36,36.000000,36.000000,33.000000,111.000000,31.270000,111.000000,0.000000,100.000000,100.000000,91.666667
US29_NB,AM,12,0.822102,2.732569,12,0.937395,0.822102,2.643944,0.974209,12,1.388552,4.549649,12,1.550353,0.526623,4.465690,0.692474,12,1.165798,3.899378,12,1.515901,0.295479,3.686852,0.689548,12,135,120,-15,15,11.111111,120,135,88.888889,100.000000,88.888889,94.117647,91.666667,1,1,405.000000,420.000000,15.000000,540.000000,540.000000,0.000000,12,135,120,-15,15,11.111111,120,135,88.888889,100.000000,88.888889,94.117647,91.666667,1,1,405.000000,420.000000,15.000000,540.000000,540.000000,0.000000,31.093786,31.915888,31.620409,97.445258,100.000000,100.000000,46,46.000000,46.000000,45.000000,128.000000,33.930000,128.000000,0.000000,100.000000,100.000000,97.826087
US29_NB,MD,24,1.497674,4.931925,24,1.622926,-1.497674,4.933486,0.443503,24,0.985696,3.251059,24,1.487258,-0.356771,3.246981,0.461200,24,1.502991,4.928547,24,1.805112,-1.140903,5.009879,0.420214,24,360,360,0,0,0.000000,360,360,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,540.000000,540.000000,0.000000,900.000000,900.000000,0.000000,24,360,360,0,0,0.000000,360,360,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,540.000000,540.000000,0.000000,900.000000,900.000000,0.000000,30.357314,28.859640,30.000543,98.916199,100.000000,100.000000,46,46.000000,46.000000,45.000000,128.000000,33.930000,128.000000,0.000000,100.000000,100.000000,97.826087
US29_NB,PM,16,0.629513,2.140687,16,0.703635,-0.535899,2.140816,0.679519,16,1.082414,3.693711,16,1.319492,0.243529,3.681018,0.395287,16,1.284719,4.329304,16,1.485729,-0.779429,4.333120,0.384131,16,240,240,0,0,0.000000,240,240,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,900.000000,900.000000,0.000000,1140.000000,1140.000000,0.000000,16,240,240,0,0,0.000000,240,240,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,900.000000,900.000000,0.000000,1140.000000,1140.000000,0.000000,29.405291,28.869392,29.648821,96.742702,100.000000,100.000000,46,46.000000,46.000000,45.000000,128.000000,33.930000,128.000000,0.000000,100.000000,100.000000,97.826087
US29_SB,AM,12,0.814634,2.585023,12,0.971892,0.814634,2.533975,0.897004,12,2.490399,7.840952,12,3.050966,2.347198,7.746554,0.267045,12,2.055970,5.858254,12,2.390513,-1.532563,5.960080,0.317991,12,105,75,-30,30,28.571429,75,105,71.428571,100.000000,71.428571,83.333333,83.333333,1,1,435.000000,465.000000,30.000000,540.000000,540.000000,0.000000,12,105,45,-60,60,57.142857,45,105,42.857143,100.000000,42.857143,60.000000,66.666667,1,2,435.000000,435.000000,0.000000,540.000000,540.000000,0.000000,32.148476,32.963111,34.495674,98.519055,100.000000,100.000000,48,48.000000,48.000000,46.000000,125.000000,33.700000,125.000000,0.000000,100.000000,100.000000,95.833333
US29_SB,MD,24,0.302826,1.019901,24,0.421008,-0.286622,1.010563,0.899406,24,2.265416,7.548365,24,2.796280,2.240155,7.559946,0.243271,24,2.547217,7.660175,24,3.055978,-2.526777,7.909093,0.193501,24,360,360,0,0,0.000000,360,360,100.000000,100.000000,100.000000,100.000000,100.000000,1,1,540.000000,540.000000,0.000000,900.000000,900.000000,0.000000,24,360,180,-180,180,50.000000,180,360,50.000000,100.000000,50.000000,66.666667,50.000000,1,3,540.000000,540.000000,0.000000,900.000000,900.000000,0.000000,29.966032,29.679410,32.206187,99.323444,100.000000,100.000000,48,48.000000,48.000000,46.000000,125.000000,33.700000,125.000000,0.000000,100.000000,100.000000,95.833333
