corridor,period,tmc_period_count,mean_abs_profile_duration_error_hours,median_abs_profile_duration_error_hours,max_abs_profile_duration_error_hours,within_15_min_share,mean_cbi_selected_doc,mean_taplite_doc,abs_duration_error_vs_abs_doc_difference_correlation
VA643_EB,PM,8.000000,1.093750,0.375000,4.000000,0.500000,2.149580,1.340020,0.118075
VA643_NB,AM,18.000000,0.847222,0.375000,3.000000,0.500000,4.300994,0.911926,0.349631
VA643_NB,MD,18.000000,1.444444,0.000000,6.000000,0.666667,3.938981,0.747821,
VA643_NB,PM,18.000000,1.111111,0.000000,4.000000,0.722222,4.375356,1.066512,-0.824567
VA643_SB,AM,16.000000,0.671875,0.000000,3.000000,0.687500,0.829067,0.543064,0.777675
VA643_SB,MD,16.000000,1.406250,0.000000,6.000000,0.562500,3.205353,0.886930,1.000000
VA643_SB,PM,16.000000,0.578125,0.000000,4.000000,0.812500,2.803784,2.148713,-0.345996
VA643_WB,AM,8.000000,0.312500,0.125000,1.250000,0.750000,4.350700,0.526438,-1.000000
VA643_WB,MD,8.000000,0.968750,0.000000,5.250000,0.750000,0.616856,0.626128,
VA643_WB,PM,8.000000,0.093750,0.000000,0.750000,0.875000,2.428340,1.111784,0.197111
VA644_EB,AM,27.000000,0.546296,0.000000,3.000000,0.629630,2.480167,0.699329,0.603305
VA644_EB,MD,27.000000,1.342593,0.000000,6.000000,0.592593,2.962903,1.039666,-0.524448
VA644_EB,PM,27.000000,0.416667,0.000000,4.000000,0.740741,3.411983,1.766147,0.015484
VA644_WB,AM,24.000000,0.395833,0.000000,3.000000,0.708333,3.761190,0.672124,-0.664364
VA644_WB,MD,24.000000,0.604167,0.000000,6.000000,0.750000,0.863684,0.913501,
VA644_WB,PM,24.000000,0.583333,0.000000,4.000000,0.666667,3.258288,1.707228,0.590747
VA645_NB,AM,29.000000,0.318966,0.000000,3.000000,0.793103,6.127301,1.009393,-0.479273
VA645_NB,MD,29.000000,0.793103,0.000000,6.000000,0.758621,1.844664,0.956406,-0.486567
VA645_NB,PM,29.000000,0.362069,0.000000,4.000000,0.827586,2.797848,1.753473,0.038990
VA645_SB,AM,28.000000,0.446429,0.000000,3.000000,0.785714,4.251391,1.110069,-0.412316
VA645_SB,MD,28.000000,1.026786,0.000000,6.000000,0.785714,,0.955396,
VA645_SB,PM,28.000000,0.535714,0.000000,4.000000,0.714286,3.274741,2.011128,-0.274521
VA659_NB,AM,18.000000,0.361111,0.000000,2.000000,0.722222,3.072642,1.061326,-0.121764
VA659_NB,MD,18.000000,1.083333,0.000000,6.000000,0.777778,,1.000064,
VA659_NB,PM,18.000000,0.444444,0.000000,4.000000,0.888889,2.738653,1.397871,0.689605
VA659_SB,AM,18.000000,0.597222,0.000000,3.000000,0.666667,7.366813,1.023241,1.000000
VA659_SB,MD,18.000000,1.166667,0.000000,6.000000,0.777778,2.673527,1.285025,0.749879
VA659_SB,PM,18.000000,0.458333,0.000000,4.000000,0.888889,4.167029,1.564764,-0.361189
VA7_EB,AM,78.000000,0.423077,0.000000,3.000000,0.717949,1.597602,1.843748,-0.530135
VA7_EB,MD,78.000000,0.798077,0.000000,6.000000,0.794872,2.735428,1.875895,
VA7_EB,PM,78.000000,0.403846,0.000000,4.000000,0.858974,4.053960,2.592774,-0.124986
VA7_WB,AM,75.000000,0.113333,0.000000,2.250000,0.893333,6.031537,1.198847,0.290569
VA7_WB,MD,75.000000,0.566667,0.000000,6.000000,0.826667,2.588477,1.982753,-0.515693
VA7_WB,PM,75.000000,0.523333,0.000000,4.000000,0.733333,3.375977,2.853482,0.351737
