corridor,tmc_code,period,direction,road_order,period_hours,common_threshold_mph,observed_same_threshold_p_hours,cbi_qvdf_same_threshold_p_hours,taplite_same_threshold_p_hours,taplite_kernel_p_hours,taplite_kernel_doc,taplite_period_volume,gmns_link_count,cbi_qvdf_minus_taplite_profile_p_hours,cbi_qvdf_vs_taplite_profile_abs_error_hours,cbi_selected_episode_count,cbi_selected_episode_p_hours,cbi_selected_episode_doc,cbi_selected_episode_demand_veh_per_lane,cbi_capacity_reference_hours,cbi_capacity_volume_veh_per_lane,cbi_selected_p_minus_qvdf_profile_p_hours,taplite_kernel_p_minus_profile_p_hours,cbi_doc_minus_taplite_doc,same_profile_duration_within_15_min
VA236_WB,110N06685,AM,WESTBOUND,20.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,0.887600,8786.909200,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA236_WB,110N06685,MD,WESTBOUND,20.000000,6.000000,31.500000,6.000000,6.000000,6.000000,28.741218,4.566000,15067.895300,1.000000,0.000000,0.000000,1.000000,20.000000,3.085646,20365.265317,6.000000,6600.000000,14.000000,22.741218,-1.480354,True
VA236_WB,110N06685,PM,WESTBOUND,20.000000,4.000000,31.500000,4.000000,4.000000,4.000000,0.000000,1.239000,16354.986300,1.000000,0.000000,0.000000,,,,,,,,-4.000000,,True
VA236_WB,110N06688,AM,WESTBOUND,16.000000,3.000000,31.526600,0.000000,0.000000,0.000000,0.000000,1.373800,6594.338400,1.000000,0.000000,0.000000,,,,,,,,0.000000,,True
VA236_WB,110N06688,MD,WESTBOUND,16.000000,6.000000,31.526600,0.000000,0.000000,0.000000,0.000000,1.575300,15123.242100,1.000000,0.000000,0.000000,,,,,,,,0.000000,,True
VA236_WB,110N06688,PM,WESTBOUND,16.000000,4.000000,31.526600,0.000000,0.000000,0.000000,0.000000,2.453600,15702.956300,1.000000,0.000000,0.000000,,,,,,,,0.000000,,True
VA236_WB,110N06691,AM,WESTBOUND,11.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,0.974333,4220.394128,2.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA236_WB,110N06691,MD,WESTBOUND,11.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,1.375610,9638.744800,2.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA236_WB,110N06691,PM,WESTBOUND,11.000000,4.000000,31.500000,4.000000,4.000000,4.000000,17.371002,4.019910,6726.335077,2.000000,0.000000,0.000000,1.000000,24.000000,5.748113,18393.962005,4.000000,3200.000000,20.000000,13.371002,1.728203,True
VA236_WB,110N06692,AM,WESTBOUND,9.000000,3.000000,31.500000,3.000000,3.000000,2.500000,0.000000,0.644956,2852.228432,2.000000,0.500000,0.500000,,,,,,,,-2.500000,,False
VA236_WB,110N06692,MD,WESTBOUND,9.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,1.069616,5975.791852,2.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA236_WB,110N06692,PM,WESTBOUND,9.000000,4.000000,31.500000,4.000000,4.000000,4.000000,7.344249,1.728380,4148.114568,2.000000,0.000000,0.000000,1.000000,18.250000,4.273086,13673.874300,4.000000,3200.000000,14.250000,3.344249,2.544706,True
VA236_WB,110N06694,AM,WESTBOUND,5.000000,3.000000,31.500000,2.500000,2.750000,1.500000,3.006150,0.973100,2552.069500,1.000000,1.250000,1.250000,1.000000,15.250000,4.978959,11949.502726,3.000000,2400.000000,12.500000,1.506150,4.005859,False
VA236_WB,110N06694,MD,WESTBOUND,5.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,0.410000,5904.280700,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA236_WB,110N06694,PM,WESTBOUND,5.000000,4.000000,31.500000,4.000000,4.000000,4.000000,0.000000,0.754400,7241.958000,1.000000,0.000000,0.000000,,,,,,,,-4.000000,,True
