corridor,period,n_selected_links,n_ready_links,P_A_mean,P_B_mean,P_C_mean,DC_obs_mean,DC_assignment_mean,duration_absolute_error_mean,projection_available
SHELLHORNRD_WB,PM,3,3,,,0.0,,0.17034301809334843,,True
US15_NB,AM,15,15,,,0.0,,0.4666440310786435,,True
US15_NB,MD,15,15,24.0,27.61978601655163,0.4093003333333333,3.838657642139476,0.48567624892075517,17.860495,True
US15_NB,PM,15,15,5.875,5.972465369286969,1.0305438666666666,1.302319211089285,0.5829038997489779,2.0104605,True
US15_SB,AM,15,15,3.5,3.696129329807657,0.17582673333333335,1.0107961057809016,0.745924646779301,0.8625989999999999,True
US15_SB,MD,15,15,,,0.0,,0.6021519706820186,,True
US15_SB,PM,15,15,8.8125,3.771783192116793,0.8134712000000001,1.9698955098851114,0.6400817592089045,5.761983,True
US1_NB,AM,33,33,12.416666666666666,12.522158600302456,0.42746554545454546,3.9646512475679145,0.6912017809024591,10.065606166666667,True
US1_NB,MD,33,33,24.0,24.309222961291407,0.16867039393939395,3.646878635491381,0.4993425255442684,18.433877,True
US1_NB,PM,33,33,15.288461538461538,15.378024466922142,1.5380468787878783,3.632862356346948,0.6294961833271158,11.384188692307694,True
US1_SB,AM,31,31,17.25,17.314381492207286,0.08344806451612903,5.67199595067905,0.4733524427270012,14.66311,True
US1_SB,MD,31,31,19.85,19.993281535334077,0.8972198064516129,3.1559966998423605,0.4795470267731074,14.287237199999998,True
US1_SB,PM,31,31,13.576923076923077,13.698171238908113,1.7481270645161289,3.2429647649505595,0.7043352656339097,9.408312384615385,True
US29_NB,AM,46,46,18.1,18.278623656106163,0.5680180869565217,5.765346227524056,0.6906786309255518,15.4871168,True
US29_NB,MD,46,46,13.25,13.338881827276616,0.2714077391304348,2.127168020012067,0.4232198027626555,7.007622,True
US29_NB,PM,46,46,19.984375,20.171978274727575,1.3576812173913044,4.7427287144075,0.5565688959838223,16.0810415,True
US29_SB,AM,48,48,16.1875,16.337816679548016,0.18893579166666666,5.080303761818542,0.33136504048928345,13.920270499999999,True
US29_SB,MD,48,48,17.875,18.05178092110718,0.6938897083333334,2.8640722321192373,0.3741547362812265,12.323882333333335,True
US29_SB,PM,48,48,16.94,17.09613482878236,1.8504609791666666,4.018934648336981,0.756023824699367,13.397348120000002,True
US340_EB,AM,1,1,,,0.0,,0.752126393939394,,True
US340_EB,MD,1,1,,,0.0,,0.5353220606060606,,True
US340_EB,PM,1,1,3.0,2.972489586590216,2.054234,0.7384114280304019,0.6586520227272727,0.9457659999999999,True
US340_WB,AM,1,1,,,0.0,,0.6197549242424243,,True
US340_WB,MD,1,1,,,0.0,,0.5291632121212121,,True
US340_WB,PM,1,1,,,0.0,,0.7576248181818181,,True
US50_EB,AM,23,23,9.8125,9.87311138781641,0.516748347826087,3.2117875521934516,0.8909394519836039,6.841197,True
US50_EB,MD,23,23,7.375,7.3867128866747205,0.28046386956521735,1.2064478660805293,0.5643470869199237,4.1496655,True
US50_EB,PM,23,23,13.1,13.230165646476866,0.8463165652173913,3.100432516083801,0.5762880370278877,9.2069438,True
US50_WB,AM,23,23,,,0.0,,0.47202393911945545,,True
US50_WB,MD,23,23,,,0.0,,0.5650146056443054,,True
US50_WB,PM,23,23,6.857142857142857,6.928390666369635,1.0977109565217391,1.6854543822712258,0.8277952703461243,3.250378285714286,True
VA110_NB,AM,5,5,,,0.0,,0.3805481694736842,,True
VA110_NB,MD,5,5,,,0.0,,0.3684455555263158,,True
VA110_NB,PM,5,5,,,0.0,,0.49820304096491225,,True
VA110_SB,AM,5,5,,,0.0,,0.47960000985380125,,True
VA110_SB,MD,5,5,,,0.0,,0.46383640410818716,,True
