run_id,data_basis,detector,corridor,sensor_uid,period,calibration_scope,f_d,n,f_p,s,alpha,beta,n_episodes,duration_r2,speed_r2,duration_rmse_hr,speed_rmse_mph,duration_bound_active,speed_bound_active,reliability,link_id,tmc_code,network_link_id,network_from_node_id,network_to_node_id,network_mapping_status
corridor-e84cb5914f2e4fcba5976a13329671f4,daily,state_transition,BROADLANDSBLVD_WB,BROADLANDSBLVD_WB::110N58123,AM,sensor_period,3.1767731080605546,1.0567658183240918,0.0949568736952009,0.05,0.0536567600957885,0.0528382909162046,3,0.9999149684332324,-0.0665314284580693,0.0021734709410374,0.4749061444867459,False,True,low,3,110N58123,37001,38406,2303,mapped_primary_link
corridor-e2491b6034374343a0eff3b931b9e787,daily,state_transition,FAULKNERPKWY_EB,FAULKNERPKWY_EB::110P58128,AM,sensor_period,3.017552827200111,1.0002322522613238,0.0721395712714388,0.5459783431248426,0.0703158874904529,0.5461051478296672,8,0.9999695263090642,0.3280589873371116,0.0097692681619876,1.0559878116693422,True,False,low,1,110P58128,37313,38502,38503,mapped_primary_link
corridor-e2491b6034374343a0eff3b931b9e787,daily,state_transition,FAULKNERPKWY_EB,FAULKNERPKWY_EB::110P58128,MD,sensor_period,6.021152438431862,1.0050887781940392,0.02138112913429,0.9097635209451878,0.0583920124134019,0.914393105712306,6,0.9999319720521034,0.5225321329550416,0.0355952318376367,1.2241522847734958,False,False,medium,1,110P58128,37313,38502,38503,mapped_primary_link
corridor-e2491b6034374343a0eff3b931b9e787,daily,state_transition,FAULKNERPKWY_EB,FAULKNERPKWY_EB::110P58128,PM,sensor_period,4.029593543004825,1.0018210971014443,0.1522317426400569,0.192058670957303,0.1061083635109813,0.1924084284462907,18,0.9995933530165236,0.2176129636506574,0.1053760599583034,0.9788814857238588,False,False,high,1,110P58128,37313,38502,38503,mapped_primary_link
corridor-e2491b6034374343a0eff3b931b9e787,daily,state_transition,FAULKNERPKWY_EB,FAULKNERPKWY_EB::110+58129,MD,corridor_period,6.036335004126082,1.0021547444607009,0.0163683012535397,1.0192357280883262,0.0545499573297047,1.0214319206275728,8,0.9999716567346846,0.8191771264894259,0.0325435159507108,1.081892995412214,False,False,medium,3,110+58129,36293,38158,38691,mapped_primary_link
corridor-e2491b6034374343a0eff3b931b9e787,daily,state_transition,FAULKNERPKWY_EB,FAULKNERPKWY_EB::110+58129,PM,corridor_period,4.02973488399484,1.0017962695446037,0.1538899810058614,0.188275123356845,0.1067007757632559,0.1886133162269374,19,0.9996231859163894,0.2291724426279414,0.1025581561525746,0.9520975743374808,False,False,high,3,110+58129,36293,38158,38691,mapped_primary_link
corridor-fa1726b8d15447f09dfc30d725d9b67b,daily,state_transition,FAULKNERPKWY_WB,FAULKNERPKWY_WB::110-58128,AM,sensor_period,3.0115342900408706,1.002556215595865,0.0166188009728514,2.29830934069778,0.1116865604430835,2.3041843148785937,5,0.9999755924134244,0.4655338804243665,0.0020068013815523,0.9108299171591632,False,False,medium,1,110-58128,36290,38158,38157,mapped_primary_link
corridor-fa1726b8d15447f09dfc30d725d9b67b,daily,state_transition,FAULKNERPKWY_WB,FAULKNERPKWY_WB::110-58128,MD,sensor_period,6.020021214407928,1.0002993093296728,0.0503147314790787,0.0500000000013124,0.0293544392310203,0.0500149654677964,5,0.9999062238800746,0.0002268203882983,0.0026520197952524,0.6366255183730144,True,True,low,1,110-58128,36290,38158,38157,mapped_primary_link
corridor-fa1726b8d15447f09dfc30d725d9b67b,daily,state_transition,FAULKNERPKWY_WB,FAULKNERPKWY_WB::110-58128,PM,sensor_period,4.010970968600602,1.000179302896128,0.0516900571777399,0.0500000000009363,0.0295507301759678,0.0500089651457428,4,0.9999898322041024,-0.0537604642722977,0.0013219644170244,1.0804028064953957,True,True,low,1,110-58128,36290,38158,38157,mapped_primary_link
corridor-c57b283951aa450bb1c3ce0cbc587d35,daily,state_transition,I395_NB,I395_NB::110+04129,AM,sensor_period,3.70576861046984,1.0353819910609303,2.156934435665273,0.2477798285516313,1.591447217442315,0.256546772230524,9,0.9238736013838276,0.0815268635134252,0.2132237720127032,1.3090709558853209,False,False,medium,1,110+04129,26825,30449,30281,mapped_primary_link
corridor-c57b283951aa450bb1c3ce0cbc587d35,daily,state_transition,I395_NB,I395_NB::110+04129,MD,sensor_period,7.984471336298269,1.01685464232738,2.8390660603954867,0.1905314112462873,2.249471324121758,0.1937427500349745,7,0.977439474653058,0.0810077907014785,0.2502338272693751,1.5002389637164948,False,False,medium,1,110+04129,26825,30449,30281,mapped_primary_link
