period,n_ready_link_periods,P_A_mean,P_C_mean,MAE_P_hr,MAE_DC,MAE_speed_CBI_mph,MAE_speed_assignment_projection_mph
AM,2073,12.26967213114754,0.3653489179932467,9.795316298360659,3.3594756422943544,10.473833104854076,2.2543235010460068
MD,2073,14.662371134020619,0.2200583704775687,9.96487342268041,1.872125218300046,12.525911883278678,1.9485270175870244
PM,2073,14.47905585106383,1.3604827877472279,10.742969341755325,2.774455419295979,8.487667897037976,3.1661522731934597
ALL,6219,13.910528596187175,0.6486300254060149,10.42710323916811,2.853229369484795,10.495804295056944,2.4563342639421597
