corridor,source,episode_number,start_min,end_min,duration_min,start_time,end_time
US29_SB,CUBE_QVDF,2,540,1140,600,09:00,19:00
US50_EB,CBI_OBSERVED,1,450,540,90,07:30,09:00
US50_EB,CBI_OBSERVED,2,885,1125,240,14:45,18:45
US50_EB,TAPLITE_MODEL,1,465,510,45,07:45,08:30
US50_EB,TAPLITE_MODEL,2,645,900,255,10:45,15:00
US50_EB,TAPLITE_MODEL,3,960,1110,150,16:00,18:30
US50_EB,CUBE_QVDF,1,420,525,105,07:00,08:45
US50_EB,CUBE_QVDF,2,600,885,285,10:00,14:45
US50_EB,CUBE_QVDF,3,930,1110,180,15:30,18:30
US50_WB,CBI_OBSERVED,1,930,1095,165,15:30,18:15
US50_WB,TAPLITE_MODEL,1,915,1125,210,15:15,18:45
US50_WB,CUBE_QVDF,1,420,480,60,07:00,08:00
US50_WB,CUBE_QVDF,2,600,855,255,10:00,14:15
US50_WB,CUBE_QVDF,3,930,1110,180,15:30,18:30
VA120_NB,CBI_OBSERVED,1,360,1140,780,06:00,19:00
VA120_NB,TAPLITE_MODEL,1,390,1140,750,06:30,19:00
VA120_NB,CUBE_QVDF,1,435,1140,705,07:15,19:00
VA120_SB,CBI_OBSERVED,1,360,1140,780,06:00,19:00
VA120_SB,TAPLITE_MODEL,1,390,1140,750,06:30,19:00
VA120_SB,CUBE_QVDF,1,360,1140,780,06:00,19:00
VA123_NB,CBI_OBSERVED,1,405,1140,735,06:45,19:00
VA123_NB,TAPLITE_MODEL,1,420,1140,720,07:00,19:00
VA123_NB,CUBE_QVDF,1,405,885,480,06:45,14:45
VA123_NB,CUBE_QVDF,2,900,1125,225,15:00,18:45
VA123_SB,CBI_OBSERVED,1,465,600,135,07:45,10:00
VA123_SB,CBI_OBSERVED,2,645,675,30,10:45,11:15
VA123_SB,CBI_OBSERVED,3,690,1140,450,11:30,19:00
VA123_SB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
VA123_SB,CUBE_QVDF,1,405,510,105,06:45,08:30
VA123_SB,CUBE_QVDF,2,585,870,285,09:45,14:30
VA123_SB,CUBE_QVDF,3,915,1125,210,15:15,18:45
VA234_NB,TAPLITE_MODEL,1,915,945,30,15:15,15:45
VA234_NB,CUBE_QVDF,1,420,495,75,07:00,08:15
VA234_NB,CUBE_QVDF,2,615,840,225,10:15,14:00
VA234_NB,CUBE_QVDF,3,915,1095,180,15:15,18:15
VA234_SB,CBI_OBSERVED,1,975,1080,105,16:15,18:00
VA234_SB,CUBE_QVDF,1,420,495,75,07:00,08:15
VA234_SB,CUBE_QVDF,2,630,840,210,10:30,14:00
VA234_SB,CUBE_QVDF,3,930,1095,165,15:30,18:15
VA236_EB,CBI_OBSERVED,1,360,1140,780,06:00,19:00
VA236_EB,TAPLITE_MODEL,1,525,1140,615,08:45,19:00
VA236_EB,CUBE_QVDF,1,390,1140,750,06:30,19:00
VA236_WB,CBI_OBSERVED,1,360,885,525,06:00,14:45
VA236_WB,CBI_OBSERVED,2,900,1140,240,15:00,19:00
VA236_WB,TAPLITE_MODEL,1,450,1140,690,07:30,19:00
VA236_WB,CUBE_QVDF,1,420,1140,720,07:00,19:00
VA237_EB,CBI_OBSERVED,1,360,480,120,06:00,08:00
VA237_EB,CBI_OBSERVED,2,495,510,15,08:15,08:30
VA237_EB,CBI_OBSERVED,3,540,1050,510,09:00,17:30
VA237_EB,CBI_OBSERVED,4,1080,1140,60,18:00,19:00
VA237_EB,TAPLITE_MODEL,1,360,1140,780,06:00,19:00
VA237_EB,CUBE_QVDF,1,360,1140,780,06:00,19:00
VA237_NB,CBI_OBSERVED,1,360,645,285,06:00,10:45
VA237_NB,CBI_OBSERVED,2,675,1140,465,11:15,19:00
VA237_NB,TAPLITE_MODEL,1,360,1140,780,06:00,19:00
VA237_NB,CUBE_QVDF,1,360,1140,780,06:00,19:00
VA237_SB,CBI_OBSERVED,1,360,1140,780,06:00,19:00
VA237_SB,TAPLITE_MODEL,1,360,1140,780,06:00,19:00
VA237_SB,CUBE_QVDF,1,360,1140,780,06:00,19:00
VA237_WB,CBI_OBSERVED,1,360,510,150,06:00,08:30
VA237_WB,CBI_OBSERVED,2,540,1050,510,09:00,17:30
VA237_WB,CBI_OBSERVED,3,1080,1140,60,18:00,19:00
VA237_WB,TAPLITE_MODEL,1,360,1140,780,06:00,19:00
VA237_WB,CUBE_QVDF,1,360,1140,780,06:00,19:00
VA244_EB,CBI_OBSERVED,1,360,1140,780,06:00,19:00
VA244_EB,TAPLITE_MODEL,1,360,1140,780,06:00,19:00
VA244_EB,CUBE_QVDF,1,360,1140,780,06:00,19:00
VA244_WB,CBI_OBSERVED,1,360,1140,780,06:00,19:00
VA244_WB,TAPLITE_MODEL,1,360,1140,780,06:00,19:00
VA244_WB,CUBE_QVDF,1,360,1140,780,06:00,19:00
VA267_EB,CUBE_QVDF,1,405,495,90,06:45,08:15
VA267_EB,CUBE_QVDF,2,690,735,45,11:30,12:15
VA267_EB,CUBE_QVDF,3,945,1095,150,15:45,18:15
VA267_WB,CUBE_QVDF,1,450,465,15,07:30,07:45
VA267_WB,CUBE_QVDF,2,720,735,15,12:00,12:15
VA267_WB,CUBE_QVDF,3,945,1110,165,15:45,18:30
VA286_NB,CUBE_QVDF,1,435,480,45,07:15,08:00
VA286_NB,CUBE_QVDF,2,660,780,120,11:00,13:00
VA286_NB,CUBE_QVDF,3,975,1065,90,16:15,17:45
VA286_SB,TAPLITE_MODEL,1,975,1065,90,16:15,17:45
VA286_SB,CUBE_QVDF,1,435,480,45,07:15,08:00
VA286_SB,CUBE_QVDF,2,675,780,105,11:15,13:00
VA286_SB,CUBE_QVDF,3,960,1080,120,16:00,18:00
VA28_NB,CBI_OBSERVED,1,480,495,15,08:00,08:15
VA28_NB,CUBE_QVDF,1,420,495,75,07:00,08:15
VA28_NB,CUBE_QVDF,2,645,795,150,10:45,13:15
VA28_NB,CUBE_QVDF,3,945,1095,150,15:45,18:15
VA28_SB,CBI_OBSERVED,1,975,1020,45,16:15,17:00
