corridor,period,mapped_physical_link_count,zero_assignment_link_count,doc_le_0_10_link_count,doc_le_0_25_link_count,mapmatching_review_link_count,formula_review_link_count,median_assignment_volume,median_assignment_D_vphpl,median_assignment_doc,median_synthetic_period_volume,zero_assignment_positive_synthetic_count
VA120_SB,MD,60,0,0,0,2,40,6677.710400,2330.604450,3.141050,9224.314283,0
VA120_SB,PM,60,0,0,2,2,0,5681.894900,2514.949100,2.519650,5836.448353,0
VA123_NB,AM,108,0,0,0,0,77,6022.922200,1844.234150,2.150300,5435.592935,0
VA123_NB,MD,108,0,0,0,0,68,7254.612600,2219.002050,2.425300,11405.208942,0
VA123_NB,PM,108,0,0,0,0,3,7006.849350,2309.895200,3.013050,7516.188848,0
VA123_SB,AM,108,0,0,3,0,70,4134.422200,1121.754600,1.262200,5674.411947,0
VA123_SB,MD,108,0,0,0,0,66,7645.762000,2226.658150,2.186950,11454.834581,0
VA123_SB,PM,108,0,0,0,0,6,9108.878800,3069.355050,3.839500,7459.438896,0
VA234_NB,AM,67,0,0,3,14,48,3615.122400,1307.830900,1.242700,5305.142804,0
VA234_NB,MD,67,0,0,3,14,46,6793.126100,1366.068900,1.517900,11141.654332,0
VA234_NB,PM,67,0,0,0,14,3,5276.163300,2119.797700,2.243800,7318.390019,0
VA234_SB,AM,67,0,0,1,15,44,3569.047300,1373.687500,1.289000,5235.183662,0
VA234_SB,MD,67,0,0,1,15,45,6920.188200,1729.560100,1.883300,11153.368341,0
VA234_SB,PM,67,0,0,1,15,4,4628.665700,1962.920000,1.909900,7582.075368,0
VA236_EB,AM,73,0,0,0,0,53,4970.013400,1557.108700,1.753000,5682.747716,0
VA236_EB,MD,73,0,0,0,0,52,10489.180600,2615.893500,3.269900,11430.954179,0
VA236_EB,PM,73,0,0,0,0,1,8767.699700,3613.755300,3.764300,7237.509324,0
VA236_WB,AM,73,0,0,0,0,55,5463.974100,1795.461900,1.980900,5605.672999,0
VA236_WB,MD,73,0,0,0,0,50,10325.231000,2765.530600,3.456900,11027.429235,0
VA236_WB,PM,73,0,0,0,0,1,8682.220800,3859.536700,4.069100,7134.624199,0
VA237_EB,AM,28,0,0,0,1,17,3276.931050,1801.666200,3.040650,1667.535138,0
VA237_EB,MD,28,0,0,0,1,14,3856.887900,1379.777350,2.257450,3428.173756,0
VA237_EB,PM,28,0,0,0,1,0,3719.276900,2557.184800,4.315900,2158.118755,0
VA237_NB,AM,5,0,0,0,0,2,2666.495200,546.375000,0.910600,3570.892877,0
VA237_NB,MD,5,0,0,0,0,2,5203.563300,591.552700,0.985900,6532.929993,0
VA237_NB,PM,5,0,0,0,0,0,3779.747500,1863.219400,2.661700,4724.937521,0
VA237_SB,AM,5,0,0,0,0,2,1887.676700,349.254500,0.582100,4160.625887,0
VA237_SB,MD,5,0,0,0,0,2,4726.106100,460.254400,0.767100,8254.139786,0
VA237_SB,PM,5,0,0,0,0,0,4319.866900,2134.849800,3.049800,5384.793344,0
VA237_WB,AM,28,0,0,0,1,19,2457.616850,1480.159400,2.466950,1695.979307,0
VA237_WB,MD,28,0,0,0,1,15,3573.295950,1608.871700,2.741800,3442.036629,0
VA237_WB,PM,28,0,0,0,1,0,3589.747600,2853.898450,4.925050,2196.588833,0
VA244_EB,AM,43,0,0,0,13,26,6700.168200,2782.185700,3.188400,4545.662690,0
VA244_EB,MD,43,0,0,0,13,32,5900.893300,2607.358100,3.175500,8829.471413,0
VA244_EB,PM,43,0,0,0,13,0,6406.813000,2857.539800,3.518300,5916.411430,0
VA244_WB,AM,45,0,0,0,7,28,2715.616100,1043.128300,1.225700,4447.824631,0
VA244_WB,MD,45,0,0,0,7,27,5715.042800,2203.895900,2.830700,8814.082531,0
VA244_WB,PM,45,0,0,0,7,0,9553.365300,4683.319200,5.563600,5802.811971,0
VA267_EB,AM,62,0,32,50,5,22,1113.671350,186.419150,0.094650,13184.229416,0
VA267_EB,MD,60,0,28,51,3,22,2364.572100,213.433450,0.109350,26455.948588,0
VA267_EB,PM,60,0,30,44,3,15,1661.471900,187.140850,0.098500,17760.482242,0
VA267_WB,AM,63,0,42,59,4,24,1508.703200,141.440400,0.074400,15309.037686,0
VA267_WB,MD,63,0,29,49,4,24,2452.567000,206.016400,0.103000,26496.185625,0
