corridor,period,tmc_code,direction,road_order,route_sequence,link_id,from_node_id_measurement,to_node_id_measurement,length_mi,qa_status,confidence,performance_available,cube_profile_available,taplite_period_volume,cube_period_volume,taplite_zero_volume,cube_positive_volume,taplite_zero_cube_positive,tmc_model_length_coverage,eligible_for_comparison,iteration_no,from_node_id_source,to_node_id_source,assignment_volume,ref_volume,base_demand_volume,obs_volume,background_volume,link_capacity,lane_capacity,assignment_D_vphpl,assignment_doc,assignment_plf,speed_mph,travel_time,assignment_P_hours,assignment_t0_hour,assignment_t2_hour,assignment_t3_hour,vt2_mph,mu,free_speed_mph,cutoff_speed_mph,kernel_recomputed_D_vphpl,kernel_recomputed_doc,kernel_recomputed_plf,kernel_D_residual,kernel_doc_residual,kernel_plf_residual,kernel_formula_status,gmns_lanes,assignment_link_streetname,assignment_link_source_id,assignment_link_project_id,assignment_link_ftype,assignment_link_type,assignment_link_allowed_use,assignment_link_length_mi,assignment_link_lanes,cube_period_volume_link_file,synthetic_period_volume,synthetic_profile_intervals,synthetic_observed_speed_mph,synthetic_tmc_codes,map_road,map_direction,map_road_order,map_link_sequence,distance_to_tmc_ft,bearing_diff_deg,map_link_streetname,map_link_allowed_use,map_link_posted_speed_mph,map_link_lanes,map_link_capacity,map_link_free_speed_mph,map_link_type,map_link_project_id,map_link_source_id,map_link_geometry_wgs84,map_status,map_confidence,route_link_count,route_length_mi,length_ratio,avg_offset_ft,max_offset_ft,avg_bearing_diff_deg,assignment_to_synthetic_volume_ratio,assignment_minus_synthetic_period_volume,assignment_zero_flag,assignment_doc_le_0_10_flag,assignment_doc_le_0_25_flag,mapmatching_review_flag,suspicious_flag,likely_cause
I395_NB,PM,110P04123,NORTHBOUND,6.000000,1,28285,32248,32253,0.560000,matched,98.750000,True,True,14255.534400,17378.179690,False,True,False,1.000000,True,10,32248,32253,14255.534400,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,1306.673800,0.687700,0.681900,38.215400,0.879200,3.204299,16.147851,17.750000,19.000000,21.321920,407.787763,63.000000,47.250000,1306.600528,0.687684,0.681862,0.073272,0.000016,0.000038,review,4.000000,I-395,36776,SKY2001,1,201,sov;hov2;hov3;trk;apv;com,0.560000,4,17378.179690,29921.530689,16.000000,48.702672,110P04123,I-395,NORTHBOUND,6.000000,1.000000,0.000000,0.430000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,SKY2001,36776.000000,"LINESTRING (-77.11804705290807 38.82764286014559, -77.10875764067306 38.83139164957046)",matched,98.750000,1.000000,0.560000,0.939200,0.000000,0.000000,0.430000,0.476431,-15665.996289,False,False,False,False,True,calculation_mismatch
I395_NB,PM,110P04124,NORTHBOUND,8.000000,2,26756,30397,30362,0.350000,matched,96.820000,True,True,16240.895500,20214.603520,False,True,False,1.000000,True,10,30397,30362,16240.895500,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,1767.506400,0.930300,0.574300,33.607500,0.624900,4.464903,15.586470,17.500000,19.000000,17.898829,395.866742,63.000000,47.250000,1767.466427,0.930245,0.574287,0.039973,0.000055,0.000013,review,4.000000,I-395,63861,SKY2001,1,201,sov;hov2;hov3;trk;apv;com,0.350000,4,20214.603520,29762.305135,16.000000,49.968336,110P04124,I-395,NORTHBOUND,8.000000,2.000000,33.880000,0.690000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,SKY2001,63861.000000,"LINESTRING (-77.09735672353001 38.83466096448732, -77.09132794079532 38.83654120839282)",matched,96.820000,2.000000,0.660000,0.937200,19.330000,33.880000,1.240000,0.545687,-13521.409635,False,False,False,False,True,calculation_mismatch
I395_NB,PM,110P04124,NORTHBOUND,8.000000,1,28303,32260,30397,0.310000,matched,96.820000,True,True,15092.728100,18133.720700,False,True,False,1.000000,True,10,32260,30397,15092.728100,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,3540.810800,1.863600,0.266400,22.995500,0.808900,9.576112,15.000000,17.500000,19.000000,11.086669,369.754545,63.000000,47.250000,3540.899047,1.863631,0.266407,-0.088247,-0.000031,-0.000007,review,4.000000,I-395,63856,SKY2001,1,201,sov;hov2;hov3;trk;apv;com,0.310000,4,18133.720700,29762.305135,16.000000,49.968336,110P04124,I-395,NORTHBOUND,8.000000,1.000000,2.910000,1.860000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,SKY2001,63856.000000,"LINESTRING (-77.10278898252464 38.83318181998176, -77.09735672353001 38.83466096448732)",matched,96.820000,2.000000,0.660000,0.937200,19.330000,33.880000,1.240000,0.507109,-14669.577035,False,False,False,False,True,calculation_mismatch
I395_SB,AM,110N04124,SOUTHBOUND,34.000000,1,26759,30400,32266,0.280000,matched,99.680000,True,True,11258.989500,9512.718750,False,True,False,1.000000,True,10,30400,32266,11258.989500,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,2147.299300,1.130200,0.436900,37.510000,0.447900,0.000000,0.000000,0.000000,0.000000,37.509978,1900.000000,63.000000,47.250000,2147.514591,1.130271,0.436944,-0.215291,-0.000071,-0.000044,review,4.000000,I-395,27984,SKY2001,1,201,sov;hov2;hov3;trk;apv;com,0.280000,4,9512.718750,16253.352516,12.000000,59.467754,110N04124,I-395,SOUTHBOUND,34.000000,1.000000,0.000000,0.260000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,SKY2001,27984.000000,"LINESTRING (-77.09290738382764 38.83626263765301, -77.09778882980565 38.83488301183898)",matched,99.680000,2.000000,0.590000,0.995100,1.510000,2.850000,0.160000,0.692718,-4994.363016,False,False,False,False,True,calculation_mismatch
I395_SB,AM,110N04126,SOUTHBOUND,30.000000,1,26792,30424,30421,0.050000,matched,99.350000,True,True,9727.600600,7729.041020,False,True,False,1.000000,True,10,30424,30421,9727.600600,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,1855.234900,0.976400,0.436900,39.793400,0.075400,0.000000,0.000000,0.000000,0.000000,39.793372,1900.000000,63.000000,47.250000,1855.420882,0.976537,0.436944,-0.185982,-0.000137,-0.000044,review,4.000000,I-395,64073,SKY2001,1,201,sov;hov2;hov3;trk;apv;com,0.050000,4,7729.041020,16655.318025,12.000000,62.821321,110N04126,I-395,SOUTHBOUND,30.000000,1.000000,7.110000,1.310000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,SKY2001,64073.000000,"LINESTRING (-77.0754196959978 38.851871279677276, -77.07587906870901 38.8512833857436)",matched,99.350000,2.000000,0.620000,0.988900,2.580000,7.110000,0.290000,0.584054,-6927.717425,False,False,False,False,True,calculation_mismatch
I395_SB,AM,110N04122,SOUTHBOUND,38.000000,1,28283,32247,32244,0.180000,matched,91.530000,True,True,11266.694100,10358.810550,False,True,False,1.000000,True,10,32247,32244,11266.694100,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,2148.768700,1.130900,0.436900,37.499100,0.288000,0.000000,0.000000,0.000000,0.000000,37.499117,1900.000000,63.000000,47.250000,2148.984150,1.131044,0.436944,-0.215450,-0.000144,-0.000044,review,4.000000,I-395,63645,VI2T,1,201,sov;hov2;hov3;trk;apv;com,0.180000,4,10358.810550,15647.094380,12.000000,63.029461,110N04122,I-395,SOUTHBOUND,38.000000,1.000000,78.100000,1.700000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,VI2T,63645.000000,"LINESTRING (-77.13488684035553 38.817102737427675, -77.13787828117154 38.81588285411628)",matched,91.530000,3.000000,0.540000,0.699700,39.320000,78.100000,1.940000,0.720050,-4380.400280,False,False,False,False,True,calculation_mismatch
I395_SB,AM,110N04122,SOUTHBOUND,38.000000,3,32624,35513,35509,0.330000,matched,91.530000,True,True,10548.811800,10814.337890,False,True,False,1.000000,True,10,35513,35509,10548.811800,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,2011.855100,1.058900,0.436900,38.537300,0.513800,0.000000,0.000000,0.000000,0.000000,38.537321,1900.000000,63.000000,47.250000,2012.056878,1.058977,0.436944,-0.201778,-0.000077,-0.000044,review,4.000000,I-395,77921,VI2T,1,201,sov;hov2;hov3;trk;apv;com,0.330000,4,10814.337890,15647.094380,12.000000,63.029461,110N04122,I-395,SOUTHBOUND,38.000000,3.000000,14.200000,2.170000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,VI2T,77921.000000,"LINESTRING (-77.13842885037207 38.815651555486795, -77.14385742411653 38.81348130212156)",matched,91.530000,3.000000,0.540000,0.699700,39.320000,78.100000,1.940000,0.674171,-5098.282580,False,False,False,False,True,calculation_mismatch
I395_SB,AM,110N04123,SOUTHBOUND,36.000000,2,28298,32256,32251,0.410000,matched,91.520000,True,True,9838.445400,9002.615230,False,True,False,1.000000,True,10,32256,32251,9838.445400,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,1876.375000,0.987600,0.436900,39.619400,0.620900,0.000000,0.000000,0.000000,0.000000,39.619358,1900.000000,63.000000,47.250000,1876.563172,0.987665,0.436944,-0.188172,-0.000065,-0.000044,review,4.000000,I-395,63650,SKY2001,1,201,sov;hov2;hov3;trk;apv;com,0.410000,4,9002.615230,13345.944080,10.000000,62.168935,110N04123,I-395,SOUTHBOUND,36.000000,2.000000,0.000000,5.070000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,SKY2001,63650.000000,"LINESTRING (-77.11270884509827 38.83041863782488, -77.11916643350419 38.827411076244395)",matched,91.520000,2.000000,0.700000,0.913800,25.670000,61.110000,3.960000,0.737186,-3507.498680,False,False,False,False,True,calculation_mismatch
I395_SB,MD,110N04124,SOUTHBOUND,34.000000,1,26759,30400,32266,0.280000,matched,99.680000,True,True,19455.642200,24788.808590,False,True,False,1.000000,True,10,30400,32266,19455.642200,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,1523.977100,0.802100,0.531900,33.182800,0.506300,0.000000,0.000000,0.000000,0.000000,33.182809,1900.000000,63.000000,47.250000,1524.067980,0.802141,0.531932,-0.090880,-0.000041,-0.000032,review,4.000000,I-395,27984,SKY2001,1,201,sov;hov2;hov3;trk;apv;com,0.280000,4,24788.808590,37319.412379,24.000000,57.172114,110N04124,I-395,SOUTHBOUND,34.000000,1.000000,0.000000,0.260000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,SKY2001,27984.000000,"LINESTRING (-77.09290738382764 38.83626263765301, -77.09778882980565 38.83488301183898)",matched,99.680000,2.000000,0.590000,0.995100,1.510000,2.850000,0.160000,0.521328,-17863.770179,False,False,False,False,True,calculation_mismatch
I395_SB,MD,110N04126,SOUTHBOUND,30.000000,1,26792,30424,30421,0.050000,matched,99.350000,True,True,15860.970500,20423.798830,False,True,False,1.000000,True,10,30424,30421,15860.970500,0.000000,0.000000,-1.000000,0.000000,7600.000000,1900.000000,1242.403400,0.653900,0.531900,37.061800,0.080900,0.000000,0.000000,0.000000,0.000000,37.061817,1900.000000,63.000000,47.250000,1242.477479,0.653936,0.531932,-0.074079,-0.000036,-0.000032,review,4.000000,I-395,64073,SKY2001,1,201,sov;hov2;hov3;trk;apv;com,0.050000,4,20423.798830,37375.291409,24.000000,59.962821,110N04126,I-395,SOUTHBOUND,30.000000,1.000000,7.110000,1.310000,I-395,sov;hov2;hov3;trk;apv;com,0.000000,4.000000,1900.000000,63.000000,201.000000,SKY2001,64073.000000,"LINESTRING (-77.0754196959978 38.851871279677276, -77.07587906870901 38.8512833857436)",matched,99.350000,2.000000,0.620000,0.988900,2.580000,7.110000,0.290000,0.424370,-21514.320909,False,False,False,False,True,calculation_mismatch
